Client_ID,Product_ID,Predicted_Rating,Product_Name
MASTELARI TRANSPORTE LTDA,848,100.0,GELADEIRA CAB41 12/24VCC ELBER
MASTELARI TRANSPORTE LTDA,870,91.467636,GELADEIRA CAB31 12/24VCC ELBER
MASTELARI TRANSPORTE LTDA,306,83.94835,GELADEIRA PORT.UNIV.31L QUADRI
MASTELARI TRANSPORTE LTDA,79,81.974625,DISCO TACOGRAFO 125 KM/H 7D VD
MASTELARI TRANSPORTE LTDA,308,81.028404,GELADEIRA PORTATIL UNIV 31L BV
MASTELARI TRANSPORTE LTDA,849,80.532074,FONTE PORTATIL ELBER 8A 12VCC
MASTELARI TRANSPORTE LTDA,1059,79.0686,GELADEIRA CAB51 12/24VCC ELBER
MASTELARI TRANSPORTE LTDA,12,74.9015,RIMULA RT4 X 15W40 4LTS
MASTELARI TRANSPORTE LTDA,66,72.763756,ARLA 32 20LTS
MASTELARI TRANSPORTE LTDA,2205,72.56753,FILTRO WDK 11102/25
MASTELARI TRANSPORTE LTDA,1286,72.54889,GELADEIRA 75L BV DIGITAL RESF
MASTELARI TRANSPORTE LTDA,13,67.17411,SHELL SPIRAX S1 ATF TASA 1LT
MASTELARI TRANSPORTE LTDA,2077,67.108315,FILTRO WK1060/1
MASTELARI TRANSPORTE LTDA,540,64.72143,IPI BRUTUS AP 15W40 CI-4 4LTS
MASTELARI TRANSPORTE LTDA,906,63.486774,GELADEIRA BEGE RC85 12/24VCC E
